[2026-04-19T00:10:51Z] === ENRICH ITERATION 8 START | repo=eslint/eslint sha=db403766 ===
[2026-04-19T00:10:51Z] [iter=8] PHASE START: enrich repo=eslint/eslint sha=db403766 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/db403766-enrich-iter-008.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/db40376637554d10d7b648588338fd796407885e.nq.gz
[2026-04-19T00:11:37Z] [iter=8] Step 1: Loading AST into disk-backed store mem_mb=79 MB
[2026-04-19T00:12:59Z] [iter=8] AST store loaded triples=8615566 load_secs=78 mem_mb=1057 MB
[2026-04-19T00:12:59Z] [iter=8] Step 2: Finding LSP targets mem_mb=1057 MB
[2026-04-19T00:13:02Z] [iter=8] LSP targets found call_sites=39555 imports=0 extends=7 implements=0 secs=3
[2026-04-19T00:13:07Z] [iter=8] Loaded checkpoint partial graph triples=135774
[2026-04-19T00:13:08Z] [iter=8] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1057 MB
[2026-04-19T00:13:52Z] [iter=8] Position index built positions=626508 nodes_with_types=675466 secs=45 mem_mb=1645 MB
[2026-04-19T00:13:52Z] [iter=8] Step 3: Starting LSP resolution mem_mb=1645 MB already_completed_types=[] already_completed_files=298
[2026-04-19T00:13:52Z] [iter=8] Resolving target type target_type=call_site count=39555
[2026-04-19T00:13:53Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=3.0 files_done=0 resolved=0 errors=0 current=lib/rules/sort-keys.js
[2026-04-19T00:14:43Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=3.9 files_done=1 resolved=0 errors=14 current=lib/rules/no-multi-spaces.js
[2026-04-19T00:15:25Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=4.6 files_done=2 resolved=3 errors=26 current=tests/fixtures/code-path-analysis/logical--for-mix-1.js
[2026-04-19T00:16:53Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=6.0 files_done=4 resolved=3 errors=51 current=tools/internal-rules/no-invalid-meta.js
[2026-04-19T00:17:35Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=6.7 files_done=5 resolved=5 errors=63 current=lib/rules/dot-notation.js
[2026-04-19T00:19:00Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=8.1 files_done=6 resolved=9 errors=87 current=lib/rules/space-unary-ops.js
[2026-04-19T00:21:03Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=10.2 files_done=7 resolved=10 errors=122 current=tests/lib/rules/array-element-newline.js
[2026-04-19T00:21:45Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=10.9 files_done=9 resolved=10 errors=134 current=tests/lib/rules/no-underscore-dangle.js
[2026-04-19T00:22:55Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=12.1 files_done=11 resolved=10 errors=154 current=lib/rules/no-bitwise.js
[2026-04-19T00:23:44Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=12.9 files_done=13 resolved=10 errors=168 current=lib/rules/no-negated-condition.js
[2026-04-19T00:24:44Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=13.9 files_done=15 resolved=10 errors=185 current=tests/lib/rules/no-new-wrappers.js
[2026-04-19T00:27:56Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=17.1 files_done=19 resolved=14 errors=240 current=tests/lib/rules/curly.js
[2026-04-19T00:29:24Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=18.5 files_done=21 resolved=17 errors=265 current=lib/rules/no-prototype-builtins.js
[2026-04-19T00:30:13Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=19.4 files_done=24 resolved=18 errors=279 current=lib/rules/no-self-compare.js
[2026-04-19T00:32:33Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=21.7 files_done=26 resolved=18 errors=319 current=lib/rules/no-unexpected-multiline.js
[2026-04-19T00:33:15Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=22.4 files_done=27 resolved=18 errors=331 current=tests/lib/rules/global-require.js
[2026-04-19T00:35:08Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=24.3 files_done=30 resolved=19 errors=363 current=lib/rules/no-extra-boolean-cast.js
[2026-04-19T00:37:46Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=26.9 files_done=31 resolved=20 errors=408 current=tests/lib/rules/max-lines-per-function.js
[2026-04-19T00:38:53Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=28.0 files_done=33 resolved=20 errors=427 current=lib/rules/constructor-super.js
[2026-04-19T00:40:24Z] [iter=8] HEARTBEAT target_type=call_site elapsed_min=29.6 files_done=34 resolved=23 errors=453 current=lib/rules/arrow-spacing.js
